club_name,club_logo_url,nationality_name,nation_flag_url
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Argentina,https://cdn.sofifa.net/flags/ar.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Belgium,https://cdn.sofifa.net/flags/be.png
Atlético de Madrid,https://cdn.sofifa.net/teams/240/60.png,Slovenia,https://cdn.sofifa.net/flags/si.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,France,https://cdn.sofifa.net/flags/fr.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,Germany,https://cdn.sofifa.net/flags/de.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Tottenham Hotspur,https://cdn.sofifa.net/teams/18/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Chelsea,https://cdn.sofifa.net/teams/5/60.png,France,https://cdn.sofifa.net/flags/fr.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,France,https://cdn.sofifa.net/flags/fr.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,Belgium,https://cdn.sofifa.net/flags/be.png
Tottenham Hotspur,https://cdn.sofifa.net/teams/18/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Senegal,https://cdn.sofifa.net/flags/sn.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Egypt,https://cdn.sofifa.net/flags/eg.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Italy,https://cdn.sofifa.net/flags/it.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Atlético de Madrid,https://cdn.sofifa.net/teams/240/60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Chelsea,https://cdn.sofifa.net/teams/5/60.png,Belgium,https://cdn.sofifa.net/flags/be.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Costa Rica,https://cdn.sofifa.net/flags/cr.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Borussia Dortmund,https://cdn.sofifa.net/teams/22/60.png,Norway,https://cdn.sofifa.net/flags/no.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,Argentina,https://cdn.sofifa.net/flags/ar.png
Tottenham Hotspur,https://cdn.sofifa.net/teams/18/60.png,France,https://cdn.sofifa.net/flags/fr.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,Croatia,https://cdn.sofifa.net/flags/hr.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Argentina,https://cdn.sofifa.net/flags/ar.png
Juventus,https://cdn.sofifa.net/teams/45/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Lazio,https://cdn.sofifa.net/teams/46/60.png,Italy,https://cdn.sofifa.net/flags/it.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,France,https://cdn.sofifa.net/flags/fr.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Italy,https://cdn.sofifa.net/flags/it.png
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Juventus,https://cdn.sofifa.net/teams/45/60.png,Argentina,https://cdn.sofifa.net/flags/ar.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Juventus,https://cdn.sofifa.net/teams/45/60.png,Italy,https://cdn.sofifa.net/flags/it.png
Inter,https://cdn.sofifa.net/teams/44/60.png,Slovenia,https://cdn.sofifa.net/flags/si.png
Borussia Dortmund,https://cdn.sofifa.net/teams/22/60.png,Germany,https://cdn.sofifa.net/flags/de.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Spain,https://cdn.sofifa.net/flags/es.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Villarreal CF,https://cdn.sofifa.net/teams/483/60.png,Spain,https://cdn.sofifa.net/flags/es.png
VfL Wolfsburg,https://cdn.sofifa.net/teams/175/60.png,Belgium,https://cdn.sofifa.net/flags/be.png
Napoli,https://cdn.sofifa.net/teams/48/60.png,Italy,https://cdn.sofifa.net/flags/it.png
Napoli,https://cdn.sofifa.net/teams/48/60.png,Senegal,https://cdn.sofifa.net/flags/sn.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,France,https://cdn.sofifa.net/flags/fr.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Algeria,https://cdn.sofifa.net/flags/dz.png
Villarreal CF,https://cdn.sofifa.net/teams/483/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Leicester City,https://cdn.sofifa.net/teams/95/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Spain,https://cdn.sofifa.net/flags/es.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,France,https://cdn.sofifa.net/flags/fr.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Atlético de Madrid,https://cdn.sofifa.net/teams/240/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Inter,https://cdn.sofifa.net/teams/44/60.png,Slovakia,https://cdn.sofifa.net/flags/sk.png
Sevilla FC,https://cdn.sofifa.net/teams/481/60.png,Argentina,https://cdn.sofifa.net/flags/ar.png
Leicester City,https://cdn.sofifa.net/teams/95/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Chelsea,https://cdn.sofifa.net/teams/5/60.png,Brazil,https://cdn.sofifa.net/flags/br.png
Real Sociedad,https://cdn.sofifa.net/teams/457/60.png,Spain,https://cdn.sofifa.net/flags/es.png
Borussia Mönchengladbach,https://cdn.sofifa.net/teams/23/60.png,Switzerland,https://cdn.sofifa.net/flags/ch.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png,Belgium,https://cdn.sofifa.net/flags/be.png
Juventus,https://cdn.sofifa.net/teams/45/60.png,Italy,https://cdn.sofifa.net/flags/it.png
